spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryo.referenceTracking,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.cores,spark.executor.cores,spark.driver.memory,spark.executor.memory,spark.storage.memoryFraction,spark.storage.unrollFraction,spark.network.timeout,spark.locality.wait,spark.scheduler.revive.interval,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.serializer,spark.memory.storageFraction,spark.default.parallelism,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.instances,spark.python.worker.memory,spark.python.worker.reuse,spark.rpc.message.maxSize,spark.driver.maxResultSize,spark.driver.memoryOverhead,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.io.maxRetries,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.io.preferDirectBufs,spark.shuffle.io.backLog,spark.shuffle.service.index.cache.size,spark.shuffle.maxChunksBeingTransferred,spark.memory.useLegacyMode,spark.storage.replication.proactive,spark.cleaner.periodicGC.interval,spark.cleaner.referenceTracking,spark.cleaner.referenceTracking.blocking,spark.cleaner.referenceTracking.blocking.shuffle,spark.cleaner.referenceTracking.cleanCheckpoints,spark.broadcast.checksum,spark.executor.heartbeatInterval,spark.files.fetchTimeout,spark.files.useFetchCache,spark.files.overwrite,spark.files.maxPartitionBytes,spark.files.openCostInBytes,spark.storage.memoryMapThreshold,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,spark.rpc.io.backLog,spark.port.maxRetries,spark.rpc.numRetries,spark.rpc.retry.wait,spark.rpc.lookupTimeout,spark.scheduler.minRegisteredResourcesRatio,spark.scheduler.mode,spark.scheduler.listenerbus.eventqueue.capacity,spark.scheduler.blacklist.unschedulableTaskSetTimeout,spark.task.reaper.enabled,spark.task.reaper.pollingInterval,spark.task.reaper.threadDump,spark.stage.maxConsecutiveAttempts,spark.streaming.backpressure.enabled,spark.streaming.blockInterval,spark.streaming.receiver.writeAheadLog.enable,spark.streaming.unpersist,spark.streaming.stopGracefullyOnShutdown,runtime
18.0,393.0,0.18,557.0,396.0,4.92,0.5,3.0,2.0,113.0,186.0,0.0,27.0,57.0,1.0,10.0,4.0,9.0,0.7,0.3,443.0,10.0,7.0,3.0,1.0,0.88,1.0,1.0,1.0,1.0,0.84,82.0,1.0,707.0,8.0,730.0,1.0,410.0,509.0,490.0,21059.0,20144.0,30954.0,9.0,5.0,0.0,8.0,151.0,13685.0,0.0,1.0,41.0,1.0,1.0,0.0,0.0,0.0,13.0,65.0,1.0,1.0,33580634.0,2119603.0,353.0,1.0,120.0,27.0,2.0,5.0,115.0,0.8,1.0,7155.0,51.0,0.0,18.0,1.0,4.0,1.0,211.0,1.0,1.0,1.0,128.039
415.0,132.0,0.16,341.0,601.0,2.85,0.45,12.0,1.0,194.0,240.0,1.0,107.0,20.0,4.0,5.0,12.0,11.0,0.76,0.46,370.0,7.0,13.0,8.0,0.0,0.51,1.0,0.0,0.0,0.0,0.7,458.0,0.0,292.0,14.0,908.0,0.0,141.0,1485.0,708.0,17440.0,15904.0,16058.0,10.0,4.0,1.0,83.0,196.0,15879.0,0.0,1.0,52.0,1.0,1.0,1.0,0.0,0.0,8.0,35.0,0.0,1.0,33573319.0,2127091.0,329.0,2.0,41.0,21.0,4.0,2.0,225.0,0.8,1.0,10247.0,148.0,1.0,3.0,1.0,8.0,1.0,68.0,1.0,0.0,1.0,426.762
243.0,480.0,0.2,895.0,45.0,3.25,0.82,113.0,2.0,61.0,221.0,0.0,82.0,86.0,4.0,9.0,1.0,15.0,0.4,0.34,440.0,7.0,13.0,5.0,0.0,0.76,1.0,0.0,1.0,0.0,0.88,305.0,1.0,458.0,12.0,381.0,1.0,349.0,1508.0,482.0,18968.0,27397.0,16335.0,5.0,5.0,0.0,112.0,99.0,10355.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,6.0,47.0,1.0,0.0,33574939.0,2105519.0,360.0,2.0,45.0,25.0,3.0,4.0,214.0,0.7,1.0,8483.0,61.0,0.0,14.0,0.0,8.0,0.0,335.0,0.0,0.0,0.0,290.736
74.0,64.0,0.79,788.0,39.0,2.93,0.8,72.0,0.0,230.0,250.0,0.0,24.0,121.0,6.0,7.0,15.0,13.0,0.92,0.52,202.0,4.0,17.0,7.0,1.0,0.7,1.0,0.0,0.0,1.0,0.59,207.0,0.0,21.0,14.0,716.0,1.0,385.0,1133.0,1771.0,25055.0,9348.0,19972.0,6.0,1.0,0.0,128.0,187.0,4820.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,18.0,83.0,1.0,1.0,33585307.0,2106306.0,77.0,2.0,88.0,6.0,3.0,6.0,69.0,0.8,1.0,14539.0,95.0,1.0,14.0,1.0,4.0,1.0,128.0,1.0,1.0,0.0,465.054
354.0,157.0,0.39,158.0,209.0,3.16,0.39,81.0,1.0,243.0,204.0,1.0,114.0,58.0,7.0,9.0,17.0,18.0,0.75,0.55,375.0,9.0,37.0,6.0,1.0,0.83,0.0,0.0,1.0,1.0,0.55,69.0,0.0,87.0,12.0,412.0,0.0,285.0,1563.0,392.0,27144.0,11915.0,15439.0,10.0,3.0,0.0,122.0,72.0,29129.0,0.0,1.0,80.0,1.0,1.0,0.0,1.0,0.0,7.0,38.0,0.0,1.0,33563872.0,2108208.0,473.0,1.0,93.0,9.0,4.0,4.0,118.0,0.8,0.0,10804.0,197.0,1.0,6.0,1.0,4.0,0.0,435.0,1.0,1.0,1.0,214.424
256.0,443.0,0.28,228.0,783.0,2.24,0.93,81.0,2.0,50.0,215.0,1.0,61.0,87.0,7.0,9.0,9.0,12.0,0.64,0.23,335.0,9.0,50.0,8.0,1.0,0.71,0.0,0.0,0.0,1.0,0.55,274.0,0.0,222.0,10.0,762.0,0.0,321.0,530.0,961.0,5945.0,7751.0,17082.0,4.0,3.0,1.0,66.0,68.0,15101.0,1.0,0.0,47.0,1.0,0.0,1.0,0.0,0.0,17.0,62.0,1.0,0.0,33580756.0,2129755.0,109.0,1.0,40.0,29.0,5.0,1.0,159.0,0.8,1.0,4226.0,116.0,1.0,17.0,1.0,5.0,1.0,143.0,0.0,0.0,1.0,592.299
447.0,269.0,0.7,435.0,814.0,5.23,0.23,77.0,2.0,143.0,172.0,1.0,47.0,110.0,1.0,2.0,4.0,16.0,0.48,0.86,487.0,6.0,21.0,7.0,1.0,0.75,1.0,0.0,0.0,0.0,0.82,54.0,0.0,207.0,12.0,922.0,1.0,390.0,755.0,551.0,4154.0,20823.0,9005.0,7.0,2.0,0.0,50.0,125.0,31447.0,0.0,0.0,82.0,1.0,0.0,1.0,1.0,0.0,14.0,74.0,0.0,1.0,33555817.0,2121379.0,294.0,2.0,61.0,16.0,2.0,5.0,192.0,0.9,0.0,13427.0,163.0,0.0,15.0,1.0,5.0,1.0,394.0,1.0,1.0,0.0,253.405
416.0,215.0,0.89,855.0,631.0,5.39,0.49,6.0,1.0,223.0,216.0,1.0,52.0,85.0,12.0,2.0,19.0,9.0,0.91,0.54,435.0,5.0,44.0,8.0,1.0,0.82,1.0,0.0,1.0,1.0,0.87,93.0,0.0,301.0,11.0,975.0,0.0,370.0,1871.0,972.0,13532.0,30718.0,18899.0,5.0,5.0,1.0,14.0,184.0,12358.0,1.0,1.0,70.0,1.0,1.0,0.0,1.0,0.0,18.0,90.0,1.0,0.0,33576156.0,2125391.0,122.0,2.0,49.0,15.0,2.0,6.0,42.0,0.9,0.0,11974.0,75.0,0.0,15.0,0.0,6.0,1.0,139.0,0.0,1.0,0.0,575.77
262.0,259.0,0.97,628.0,583.0,2.13,0.21,57.0,2.0,102.0,203.0,0.0,37.0,3.0,11.0,6.0,19.0,14.0,0.72,0.23,325.0,10.0,44.0,3.0,1.0,0.59,0.0,0.0,1.0,1.0,0.55,145.0,0.0,567.0,9.0,312.0,1.0,490.0,901.0,807.0,6279.0,2250.0,8804.0,7.0,4.0,0.0,45.0,56.0,30791.0,0.0,1.0,39.0,1.0,0.0,1.0,1.0,1.0,12.0,33.0,0.0,1.0,33574164.0,2099279.0,149.0,1.0,48.0,8.0,4.0,5.0,68.0,0.7,0.0,6869.0,36.0,0.0,13.0,1.0,4.0,0.0,143.0,1.0,0.0,1.0,270.07
233.0,298.0,0.3,196.0,332.0,4.33,0.37,57.0,2.0,253.0,240.0,0.0,27.0,59.0,5.0,1.0,9.0,9.0,0.99,0.8,242.0,8.0,45.0,8.0,0.0,0.7,0.0,1.0,0.0,1.0,0.55,90.0,1.0,790.0,10.0,453.0,0.0,412.0,1798.0,1246.0,1648.0,14474.0,5440.0,2.0,2.0,0.0,112.0,179.0,27588.0,1.0,1.0,64.0,1.0,1.0,0.0,0.0,0.0,6.0,75.0,1.0,1.0,33570570.0,2122554.0,385.0,1.0,63.0,7.0,2.0,2.0,101.0,0.8,0.0,9981.0,225.0,0.0,17.0,0.0,6.0,0.0,444.0,0.0,1.0,0.0,627.214
141.0,474.0,0.74,355.0,534.0,5.33,0.24,50.0,2.0,68.0,82.0,1.0,40.0,68.0,6.0,5.0,10.0,14.0,0.8,0.33,307.0,5.0,47.0,3.0,1.0,0.78,1.0,1.0,1.0,1.0,0.98,305.0,1.0,451.0,12.0,614.0,0.0,235.0,1139.0,1225.0,18718.0,16633.0,9128.0,9.0,2.0,1.0,29.0,156.0,9352.0,0.0,0.0,29.0,1.0,0.0,0.0,1.0,1.0,18.0,22.0,0.0,1.0,33559406.0,2106889.0,363.0,2.0,61.0,27.0,4.0,6.0,52.0,0.9,0.0,9286.0,180.0,0.0,14.0,1.0,4.0,1.0,206.0,1.0,0.0,1.0,252.38
